Mouth_Slightly_Open,Straight_Hair,Bushy_Eyebrows,Bangs,5_o_Clock_Shadow,Big_Lips,Narrow_Eyes,Double_Chin,Wavy_Hair,Pointy_Nose,Chubby,Arched_Eyebrows,Big_Nose,Young,Male,Heavy_Makeup,Wearing_Lipstick,onehot,count
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,00000000000001100,3885
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10000000000001100,2893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,00000000000000100,2607
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,10000000100001011,2369
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10000000000001000,2282
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,00000000100001011,2196
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,00000000000001000,2184
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,10000000110001011,2071
1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,10000000110101011,1888
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,10000000100101011,1886
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,00000000000010100,1844
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,00000000100101011,1748
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10000000000001011,1716
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,00000000000001011,1682
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,01000000000001100,1664
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,00000000110001011,1659
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,00001000000001100,1505
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,00000000110101011,1498
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000000000000100,1391
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,00000000000101011,1294
1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,10000100110101011,1256
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,10000000000101011,1185
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,10000000010001011,1179
0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,00000100100101011,1177
1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,10000100100101011,1142
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,00000000010001011,1138
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,00000000010101011,1128
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11000000000001100,1081
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10000000000010100,1080
0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,00000100110101011,1054
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,10000000010101011,1018
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11000000000001011,931
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,00000000100001100,912
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,00000000000011100,876
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,01000000000001011,846
1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,10000001001010100,835
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,00100000000001100,819
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,10001000000001100,805
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10000000000011100,763
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,01000000000000100,735
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,01100000000001100,731
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,10010000000001011,726
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,00000000010001100,722
1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,11000000010001011,693
0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,01001000000001100,680
0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,00000001001010100,679
1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,10000100000011100,672
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,01000000000001000,671
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,00000000100001000,670
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,00000000000001001,669
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,00010000000001011,660
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,00000000100001001,653
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,00010000100001011,630
0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,00101000000001100,622
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,11000000000101011,614
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,10010000100001011,603
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11000000000001000,600
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11000000000000100,589
0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,00000100010101011,586
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,00000100000101011,582
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,00000000001010100,582
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,01000000010001011,578
0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,00001000000011100,576
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,00000000010000100,566
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,00010000000001100,562
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10100000000001100,561
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,10000100000101011,550
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,01000000000101011,546
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,10000000100001100,531
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,10000100010101011,524
1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,11000000010101011,522
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,00000000010001000,513
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,00000100100001011,505
0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,01000000010101011,501
0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,00000100000011100,499
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10000000000001001,494
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10000000100001000,465
0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,00001000010001100,460
1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,10000110100101011,454
1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,10010000110001011,453
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,01000000000010100,433
0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,01101000000001100,426
0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,00000100110001011,424
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11100000000001100,419
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,10000100100001011,417
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,01010000000001011,416
1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,10000100110001011,411
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,00000000100000100,410
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,01000000010001100,405
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10000000100001001,401
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10000000010001100,399
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,00001000000000100,390
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,00010000110001011,389
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10000010000001000,385
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11010000000001011,380
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11000000000010100,377
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,01000100000101011,370
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,00010000010001011,368
1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,10001000000011100,363
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,10000010000001100,361
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,00100000000011100,359
0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,00101000000011100,358
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,00000000000101001,356
1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,11000100000101011,356
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,10010000010001011,354
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,00001000100001100,352
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,11001000000001100,348
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,00010000000001000,348
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,00000100000001000,343
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10000000010001000,337
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,00001000000010100,334
1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,10000110110101011,334
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,00000000010010100,331
1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10000001000010100,331
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,00000000000101000,330
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,01010000000001100,328
1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,10000100100111011,326
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,01000000000001001,321
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,10000000001010100,317
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,10101000000001100,314
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,00000000100101001,312
0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,01000100010101011,312
1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,11000100010101011,311
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000000000000,308
0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,00010000100001100,307
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,01001000010001100,307
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10100000000011100,305
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11000000000001001,304
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000000,304
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,00000100010001011,302
