Narrow_Eyes,Straight_Hair,Pale_Skin,hair_color,Receding_Hairline,Oval_Face,Goatee,Big_Nose,Attractive,Arched_Eyebrows,5_o_Clock_Shadow,No_Beard,Heavy_Makeup,Wearing_Lipstick,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,9313
0,0,0,0,0,0,0,0,1,1,0,1,1,1,7033
0,0,0,0,0,1,0,0,1,0,0,1,1,1,5743
0,0,0,0,0,0,0,0,1,0,0,1,1,1,5086
0,0,0,0,0,1,0,0,1,1,0,1,1,1,4164
0,0,0,0,0,0,0,1,0,0,0,1,0,0,4037
0,0,0,4,0,1,0,0,1,0,0,1,1,1,3436
0,0,0,4,0,0,0,0,1,1,0,1,1,1,3115
0,0,0,4,0,0,0,0,1,0,0,1,1,1,2736
0,0,0,4,0,0,0,0,0,0,0,1,0,0,2626
0,0,0,0,0,0,0,0,1,0,0,1,0,0,2456
0,0,0,1,0,1,0,0,1,0,0,1,1,1,2288
0,0,0,0,0,1,0,0,0,0,0,1,0,0,2211
0,0,0,1,0,0,0,0,0,0,0,1,0,0,2189
0,0,0,1,0,0,0,0,1,1,0,1,1,1,2140
0,1,0,0,0,0,0,0,0,0,0,1,0,0,2089
0,0,0,4,0,1,0,0,1,1,0,1,1,1,2008
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1947
0,0,0,0,0,0,0,0,1,0,0,1,0,1,1711
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1618
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1547
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1457
0,1,0,0,0,1,0,0,1,0,0,1,1,1,1444
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1404
0,0,0,4,0,0,0,0,1,0,0,1,0,0,1395
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1347
0,0,0,1,0,1,0,0,1,1,0,1,1,1,1303
0,0,0,1,0,0,0,0,1,0,0,1,1,1,1303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256
0,1,0,0,0,0,0,0,1,1,0,1,1,1,1251
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1215
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1191
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1178
0,1,0,0,0,0,0,0,1,0,0,1,1,1,1136
1,0,0,0,0,0,0,0,1,1,0,1,1,1,1042
0,0,0,0,0,0,0,0,0,0,1,0,0,0,997
0,1,0,0,0,0,0,1,0,0,0,1,0,0,990
0,0,0,1,0,0,0,0,1,0,0,1,0,0,977
0,0,0,0,0,1,0,1,0,0,0,1,0,0,977
0,0,0,1,0,0,0,1,0,0,0,1,0,0,974
0,0,0,0,0,0,1,0,0,0,0,0,0,0,964
0,0,0,0,0,1,0,0,1,0,0,1,0,0,957
0,1,0,0,0,1,0,0,1,1,0,1,1,1,924
0,1,0,1,0,0,0,0,1,0,0,1,0,0,905
0,0,0,0,0,0,0,0,1,1,0,1,0,1,896
0,1,0,0,0,0,0,0,1,0,0,1,0,0,878
0,0,0,4,0,0,0,0,1,0,0,1,0,1,843
0,0,0,0,0,0,0,1,0,0,1,0,0,0,806
1,0,0,0,0,0,0,1,0,0,0,1,0,0,805
0,1,0,4,0,0,0,0,0,0,0,1,0,0,777
0,0,0,1,0,1,0,0,0,0,0,1,0,0,776
0,1,0,1,0,1,0,0,1,0,0,1,1,1,769
0,0,1,0,0,0,0,0,1,1,0,1,1,1,743
0,0,0,0,0,1,0,0,0,0,0,1,1,1,722
0,1,0,4,0,1,0,0,1,0,0,1,1,1,691
0,0,0,0,0,0,0,0,0,1,0,1,0,1,685
0,0,0,4,0,1,0,0,0,0,0,1,0,0,684
0,0,0,4,0,1,0,0,1,0,0,1,0,0,655
0,1,0,1,0,0,0,1,0,0,0,1,0,0,634
0,0,0,4,0,0,0,0,0,0,0,1,1,1,618
0,0,0,0,0,0,0,1,1,1,0,1,1,1,610
0,0,0,1,0,1,0,0,1,0,0,1,0,0,588
0,0,0,4,0,0,0,0,0,1,0,1,1,1,579
0,1,0,0,0,0,0,0,1,0,0,1,0,1,560
0,0,0,4,0,0,0,1,0,0,0,1,0,0,550
0,0,0,0,0,0,0,0,1,0,1,0,0,0,541
0,1,0,0,0,1,0,0,0,0,0,1,0,0,539
0,0,0,0,0,1,1,1,0,0,0,0,0,0,527
0,0,0,0,0,0,0,0,0,1,0,1,0,0,526
0,0,0,1,0,0,0,0,0,1,0,1,1,1,504
0,0,0,0,0,0,0,0,0,0,1,1,0,0,503
0,1,0,1,0,0,0,0,1,1,0,1,1,1,501
0,0,0,1,0,0,1,1,0,0,0,0,0,0,496
0,1,0,4,0,0,0,0,1,0,0,1,0,0,495
0,1,0,4,0,0,0,0,1,0,0,1,1,1,492
0,0,0,4,0,0,0,0,0,0,0,1,0,1,485
1,0,0,0,0,0,0,0,1,0,0,1,1,1,484
0,0,0,0,0,0,0,1,1,0,0,1,0,0,483
0,0,0,0,0,0,0,1,0,0,1,1,0,0,481
0,1,0,4,0,0,0,0,1,1,0,1,1,1,481
0,0,0,1,0,0,0,1,0,0,1,0,0,0,477
0,0,0,1,0,0,0,0,0,0,1,0,0,0,473
0,0,0,1,0,0,0,0,1,0,1,0,0,0,469
1,0,0,0,0,0,0,0,0,1,0,1,1,1,457
0,1,0,1,0,1,0,0,1,0,0,1,0,0,457
0,0,0,0,0,1,0,0,1,0,0,1,0,1,454
0,0,1,0,0,0,0,0,1,0,0,1,1,1,442
0,1,0,1,0,1,0,0,0,0,0,1,0,0,437
0,0,0,4,0,0,0,0,1,1,0,1,0,1,436
0,0,0,0,0,0,0,1,0,1,0,1,1,1,434
0,0,0,0,1,1,0,0,0,0,0,1,0,0,432
0,0,0,1,0,0,0,0,0,0,0,1,1,1,427
0,0,0,4,0,0,0,0,0,0,1,0,0,0,424
0,0,0,1,0,0,0,1,1,1,0,1,1,1,419
0,1,0,0,0,1,0,0,1,0,0,1,0,0,419
0,1,0,1,0,0,0,0,1,0,0,1,1,1,413
0,0,0,4,0,0,0,0,1,0,1,0,0,0,408
0,1,0,1,0,1,0,0,1,1,0,1,1,1,403
0,0,0,1,0,0,0,0,1,0,0,1,0,1,402
1,0,0,4,0,0,0,0,1,1,0,1,1,1,388
0,0,0,1,0,0,0,0,0,0,0,0,0,0,387
0,0,0,0,1,1,0,1,0,0,0,1,0,0,386
0,0,0,1,0,0,0,0,0,0,0,1,0,1,378
0,0,0,0,0,1,0,1,0,0,0,0,0,0,370
0,0,0,1,0,0,0,1,0,0,0,0,0,0,368
0,0,0,0,1,0,1,1,0,0,0,0,0,0,361
0,1,0,0,0,0,0,0,0,0,0,1,0,1,358
0,1,0,4,0,1,0,0,1,1,0,1,1,1,354
0,1,0,1,0,0,0,0,1,0,1,0,0,0,353
1,0,0,0,1,0,0,1,0,0,0,1,0,0,353
0,0,0,4,0,1,0,0,0,0,0,1,1,1,348
0,1,0,0,1,0,0,1,0,0,0,1,0,0,337
0,0,0,0,1,0,0,1,0,0,0,0,0,0,335
0,1,0,0,0,0,0,0,0,0,0,1,1,1,335
0,0,0,0,0,0,0,0,1,1,0,1,0,0,333
1,0,0,1,0,0,0,0,1,1,0,1,1,1,332
0,0,0,0,0,0,0,1,1,0,1,0,0,0,332
1,0,0,0,0,0,0,0,0,0,0,1,0,1,328
0,0,0,1,0,0,1,0,0,0,0,0,0,0,328
1,0,0,4,0,0,0,0,0,0,0,1,0,0,326
0,0,0,1,0,0,0,1,0,1,0,1,1,1,316
0,0,0,1,0,0,0,1,1,0,1,0,0,0,311
0,0,0,0,0,0,0,1,0,0,0,1,0,1,311
0,1,0,4,0,1,0,0,1,0,0,1,0,0,305
0,0,0,1,0,1,0,1,0,0,0,1,0,0,303
